编号,菜名,分类,配料 (g),适用餐次,口味,预计成本/份,热量 (kcal),蛋白质 (g),脂肪 (g),碳水 (g),标签
1,养生排骨汤,排骨菜系,"排骨(150g),玉米(100g),胡萝卜(80g),山药(80g),红枣(15g),枸杞(5g),姜片(10g),食盐(3g),水(1000ml)","午餐, 晚餐",清淡,8.5,420,25,20,38,汤类
2,冬瓜萝卜炖排骨,排骨菜系,"排骨(150g), 冬瓜(100g), 白萝卜(100g), 生姜(5g), 葱(5g), 料酒(5g), 盐(3g), 水(适量)","午餐, 晚餐",清淡,8.5,320,20,22,10,汤类
3,卤排骨,排骨菜系,"猪肋排(200g), 卤豆腐(100g), 食用油(15g), 酱油(20g), 料酒(10g), 冰糖(10g), 姜(5g), 葱(5g), 八角(1g), 桂皮(1g), 香叶(0.5g), 水(200g)","午餐, 晚餐",咸鲜,12.5,485,28,35,12,荤菜
4,可乐排骨,排骨菜系,"排骨(200g), 可乐(100g), 姜(10g), 葱(10g), 八角(2g), 生抽(15g), 老抽(5g), 料酒(10g), 食用油(10g), 冰糖(10g)","午餐, 晚餐",咸鲜,8.5,380,22,25,18,荤菜
5,土豆炖排骨,排骨菜系,"排骨(150g), 土豆(200g), 食用油(15g), 葱(10g), 姜(5g), 蒜(5g), 八角(1g), 花椒(1g), 酱油(20g), 料酒(10g), 盐(3g), 水(适量)","午餐, 晚餐",清淡,12.5,480,28,25,35,汤类
6,土豆配酥排,排骨菜系,"土豆块(200g), 猪小排(150g), 食用油(15g), 孜然粉(5g), 盐(3g), 生抽(10g), 料酒(5g), 姜(5g), 蒜(5g), 淀粉(8g)","午餐, 晚餐",孜然,8.5,450,20,25,35,荤菜
7,小米蒸排骨,排骨菜系,"排骨(200g), 小米(50g), 葱(10g), 姜(5g), 蒜(5g), 料酒(10g), 生抽(15g), 蚝油(10g), 盐(2g), 糖(2g), 食用油(5g)","午餐, 晚餐",清淡,8.5,420,25,22,30,荤菜
8,干锅排骨,排骨菜系,"排骨(180g), 青椒(40g), 红椒(40g), 土豆(洋芋)(80g), 洋葱(60g), 花菜(80g), 干锅底料(40g), 食用油(20g), 大蒜(15g), 生姜(10g), 料酒(10g), 生抽(15g), 糖(5g), 盐(2g)","午餐, 晚餐",麻辣,18.5,485,24,32,28,荤菜
9,椒盐排骨,排骨菜系,"猪肋排(200g), 玉米棒(100g), 椒盐粉(5g), 蒜末(10g), 姜末(5g), 淀粉(20g), 面粉(10g), 鸡蛋液(30g), 食用油(15g)","午餐, 晚餐",椒盐,8.5,485,25,28,35,荤菜
10,海带炖排骨,排骨菜系,"排骨(150g), 海带(干,20g), 姜(10g), 葱(10g), 料酒(10g), 盐(5g), 水(适量)","午餐, 晚餐",清淡,8.5,320,25,20,8,汤类
11,炖两江腊排骨,排骨菜系,"腊排骨(200g), 白萝卜(100g), 胡萝卜(50g), 姜(10g), 葱(10g), 料酒(10g), 盐(2g), 水(500g)","午餐, 晚餐",清淡,12.5,420,25,30,10,汤类
12,玉米炖排骨,排骨菜系,"排骨(120g), 玉米(150g), 姜(5g), 葱(5g), 料酒(10g), 食盐(3g), 饮用水(200g)","午餐, 晚餐",清淡,6.5,280,18,12,24,汤类
13,玉米蒸排骨,排骨菜系,"猪肋排(180g), 甜玉米(150g), 姜(5g), 蒜(5g), 小葱(3g), 生抽(15g), 蚝油(10g), 料酒(10g), 淀粉(8g), 白砂糖(2g), 食用油(5g)","午餐, 晚餐",清淡,12.5,385,22,20,28,荤菜
14,生炸排骨,排骨菜系,"猪肋排(200g), 土豆(150g), 食用油(30g), 淀粉(15g), 面粉(10g), 鸡蛋液(20g), 料酒(10g), 生抽(15g), 老抽(5g), 蚝油(10g), 白糖(5g), 盐(3g), 五香粉(2g), 白胡椒粉(1g), 蒜末(10g), 姜末(5g)","午餐, 晚餐",咸鲜,12.5,580,28,35,38,荤菜
15,粉蒸排骨,排骨菜系,"排骨(200g), 米粉(100g), 土豆(150g), 姜(10g), 蒜(10g), 葱(5g), 豆瓣酱(15g), 生抽(10g), 老抽(5g), 料酒(10g), 糖(5g), 食用油(10g), 盐(2g), 五香粉(1g)","午餐, 晚餐",清淡,12.5,450,25,20,40,荤菜
16,糖醋排骨,排骨菜系,"排骨(150g), 菠萝(50g), 青椒(30g), 红椒(30g), 洋葱(30g), 食用油(15g), 白糖(20g), 陈醋(15g), 酱油(10g), 料酒(5g), 生姜(5g), 蒜(5g), 淀粉(10g)","午餐, 晚餐",糖醋,8.5,420,22,25,30,荤菜
17,糯米蒸排骨,排骨菜系,"糯米(150g), 排骨(150g), 葱(10g), 姜(10g), 蒜(5g), 酱油(15g), 蚝油(10g), 料酒(10g), 白胡椒粉(1g), 食用油(5g)","午餐, 晚餐",清淡,8.5,450,25,20,40,荤菜
